id,created,status,error,parentid,trackerx,trackery,lp1h,lp2h,lp1w,lp2w,rp1h,rp2h,rp1w,rp2w,fw1,f2w,fw3,fw4,edge1,edge2
LIGHT-AND-WHAT-IT-DOES-00046,2020-03-25T18:01:23.031Z,fail,one or less sprocket points detected,1,,,,,,,,,,,,,,,,,
LIGHT-AND-WHAT-IT-DOES-00047,2020-03-25T18:01:23.132Z,pass,,1,245,302,79,79,81,82,0,-0.999699,0,-0.00252586,724,724,723,723,1,6
LIGHT-AND-WHAT-IT-DOES-00048,2020-03-25T18:01:23.231Z,pass,,1,249,301,79,79,81,82,0,-0.999699,0,-0.00252586,723,723,726,726,1,6
LIGHT-AND-WHAT-IT-DOES-00049,2020-03-25T18:01:23.327Z,pass,,1,245,245,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,723,723,1,6
LIGHT-AND-WHAT-IT-DOES-00050,2020-03-25T18:01:23.434Z,pass,,1,236,266,79,79,82,82,0,-0.999699,0,-0.00252586,723,723,722,722,1,4
LIGHT-AND-WHAT-IT-DOES-00051,2020-03-25T18:01:23.554Z,pass,,1,234,264,79,79,81,82,0,-0.999699,0,-0.00252586,724,724,725,725,1,438
LIGHT-AND-WHAT-IT-DOES-00052,2020-03-25T18:01:23.670Z,pass,,1,251,547,71,79,65,81,0,-0.999699,0,-0.00252586,712,712,717,717,1,11
LIGHT-AND-WHAT-IT-DOES-00053,2020-03-25T18:01:23.782Z,pass,,1,241,288,79,79,81,82,0,-0.999699,0,-0.00252586,723,723,723,723,0,1
LIGHT-AND-WHAT-IT-DOES-00054,2020-03-25T18:01:23.884Z,pass,,1,245,555,79,79,81,82,0,-0.999699,0,-0.00252586,723,723,723,723,1,5
LIGHT-AND-WHAT-IT-DOES-00055,2020-03-25T18:01:24.019Z,pass,,1,237,232,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,725,725,1,0
LIGHT-AND-WHAT-IT-DOES-00056,2020-03-25T18:01:24.137Z,pass,,1,231,257,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,725,725,1,2
LIGHT-AND-WHAT-IT-DOES-00057,2020-03-25T18:01:24.287Z,pass,,1,239,229,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,725,725,1,2
LIGHT-AND-WHAT-IT-DOES-00058,2020-03-25T18:01:24.428Z,pass,,1,244,287,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,725,725,1,0
LIGHT-AND-WHAT-IT-DOES-00059,2020-03-25T18:01:24.576Z,pass,,1,232,253,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,725,725,2,0
LIGHT-AND-WHAT-IT-DOES-00060,2020-03-25T18:01:24.733Z,pass,,1,262,481,79,79,82,82,0,-0.999699,0,-0.00252586,724,724,725,725,1,0
LIGHT-AND-WHAT-IT-DOES-00061,2020-03-25T18:01:24.891Z,pass,,1,244,295,79,79,79,81,0,-0.999699,0,-0.00252586,724,724,725,725,2,0
LIGHT-AND-WHAT-IT-DOES-00062,2020-03-25T18:01:25.036Z,pass,,1,239,226,79,79,81,82,0,-0.999699,0,-0.00252586,727,727,725,725,1,3
LIGHT-AND-WHAT-IT-DOES-00063,2020-03-25T18:01:25.238Z,fail,one or less sprocket points detected,1,,,,,,,,,,,,,,,,,
LIGHT-AND-WHAT-IT-DOES-00064,2020-03-25T18:01:25.392Z,pass,,1,256,497,79,79,81,81,0,-0.999699,0,-0.00252586,727,727,725,725,2,3
LIGHT-AND-WHAT-IT-DOES-00065,2020-03-25T18:01:25.551Z,pass,,1,257,485,79,79,20,82,0,-0.999699,0,-0.00252586,723,723,723,723,1,2
LIGHT-AND-WHAT-IT-DOES-00066,2020-03-25T18:01:25.671Z,pass,,1,240,271,79,79,82,81,0,-0.999699,0,-0.00252586,718,718,713,713,1,2
LIGHT-AND-WHAT-IT-DOES-00067,2020-03-25T18:01:25.813Z,pass,,1,240,221,79,79,82,81,0,-0.999699,0,-0.00252586,725,725,725,725,1,0
LIGHT-AND-WHAT-IT-DOES-00068,2020-03-25T18:01:25.910Z,pass,,1,241,270,79,79,82,81,0,-0.999699,0,-0.00252586,725,725,725,725,1,2
LIGHT-AND-WHAT-IT-DOES-00069,2020-03-25T18:01:26.063Z,pass,,1,244,273,79,79,82,82,0,-0.999699,0,-0.00252586,725,725,726,726,1,2
LIGHT-AND-WHAT-IT-DOES-00070,2020-03-25T18:01:26.201Z,pass,,1,242,214,79,79,81,82,0,-0.999699,0,-0.00252586,725,725,725,725,1,0
